"st"|"en"|"len"|"txt"
"00:04:19.410"|"00:04:23.970"|"4.56"|"He hopes that the miniature people had a chance to rebuild their city, but Gail gently tells"
"00:04:23.970"|"00:04:27.360"|"3.39"|"him that they need to embrace the possibility that they didn't make it."
"00:04:27.360"|"00:04:29.910"|"2.55"|"Still, Rob goes to the freezer and opens it anyway."
"00:04:29.910"|"00:04:34.760"|"4.85"|"To their surprise, the freezer glows with luminous cities and flying cars."
"00:04:34.760"|"00:04:39.940"|"5.18"|"Gail claims that it looks like the Emerald City, but with less emerald and more futuristic devices."
"00:04:39.940"|"00:04:43.920"|"3.98"|"The sight of this makes Rob ecstatic, marveling at how beautiful everything is."
"00:04:43.920"|"00:04:49.400"|"5.48"|"Suddenly, a building emerges right in front of them, and Rob jokes that it looks like an adult toy."
"00:04:49.400"|"00:04:55.550"|"6.15"|"Just then, everything escalates, and a massive pyramid appears in the middle of the futuristic city."
"00:04:55.550"|"00:04:58.650"|"3.1"|"It glows brightly and consumes power from the bridges attached to it."
"00:04:58.650"|"00:05:02.800"|"4.15"|"Eventually, it turns into a diamond-shaped fortress and consumes the whole city until"
"00:05:02.800"|"00:05:04.750"|"1.95"|"it bursts into a ball of energy."
"00:05:04.750"|"00:05:09.280"|"4.53"|"The majestic energy explodes like a star, and streaks of light begin to zoom around"
"00:05:09.280"|"00:05:12.530"|"3.25"|"Rob and Gail's kitchen, filling their apartment with light."
"00:05:12.530"|"00:05:14.930"|"2.4"|"The wondrous light fascinates them both."
"00:05:14.930"|"00:05:20.510"|"5.58"|"During this period, it seems like the miniature people have figured out the secrets to time and space travel."
"00:05:20.510"|"00:05:26.030"|"5.52"|"After this, the streaks of light return to the freezer, gather into a sphere, and disappear."
"00:05:26.030"|"00:05:31.210"|"5.18"|"This wipes out the smiles on Rob's and Gail's faces, confused at what they just witnessed."
"00:05:31.210"|"00:05:35.770"|"4.56"|"Rob wonders if the miniature people will ever return, but Gail thinks it's unlikely."
"00:05:35.770"|"00:05:39.960"|"4.19"|"Because of this, Rob mournfully pulls the refrigerator's plug as if he’s accepting"
"00:05:39.960"|"00:05:42.270"|"2.31"|"that those tiny people will never return."
"00:05:42.270"|"00:05:46.230"|"3.96"|"Knowing that Rob has grown fond of the miniature people, Gail hugs him in comfort."
"00:05:46.230"|"00:05:49.420"|"3.19"|"She then closes the freezer, deciding to call it a day."
"00:05:49.420"|"00:05:53.370"|"3.95"|"The next day, Rob pours their cups of coffee and hands one to Gail."
"00:05:53.370"|"00:05:57.980"|"4.61"|"Without saying a word to each other, both wonder about the miniature civilization in their freezer."
"00:05:57.980"|"00:06:01.900"|"3.92"|"With the slightest bit of hope that the miniature people are still alive, they open the freezer"
"00:06:01.900"|"00:06:05.840"|"3.94"|"again to find cold mist pouring out despite it being unplugged."
"00:06:05.840"|"00:06:11.700"|"5.86"|"Inside, they witness another ice age where primitive sapiens consume the carcass of a mighty brachiosaurus."
"00:06:11.700"|"00:06:17.020"|"5.32"|"It seems like life in the freezer has restarted, and it has now returned to the age of the dinosaurs."
"00:06:17.020"|"00:06:20.930"|"3.91"|"Just then, a roar alerts the sapiens of the arriving Tyrannosaurus-Rex."
"00:06:20.930"|"00:06:24.020"|"3.09"|"The sapiens run as one is caught between the dinosaur’s teeth."
"00:06:24.020"|"00:06:28.370"|"4.35"|"The last sapiens tumbles with the T-Rex closing in, lunging for the kill."
"00:06:28.370"|"00:06:34.580"|"6.21"|"Many claims that the freezer is like a ""pocket universe"" that shows how life evolves to the point of leaving reality."
"00:06:34.580"|"00:06:38.139"|"3.56"|"Some may think that the freezer showed the end of their world, but it could also mean"
"00:06:38.139"|"00:06:41.040"|"2.9"|"that the miniature humans found a different dimension to live in."
"00:06:41.040"|"00:06:45.560"|"4.52"|"It’s uncertain how many times this process of life occurred in the old freezer or if"
"00:06:45.560"|"00:06:47.570"|"2.01"|"it always plays out the same way."
"00:06:47.570"|"00:06:51.800"|"4.23"|"The previous owners may have seen life bloom and die repeatedly, eventually getting bored"
"00:06:51.800"|"00:06:54.940"|"3.14"|"of it, thus leaving the extraordinary freezer behind."
"00:06:54.940"|"00:06:59.389"|"4.45"|"Although the show never revealed who created life inside the freezer, an episode titled"
"00:06:59.389"|"00:07:02.370"|"2.98"|"""God: Serengeti"" by Oats Studios might just suggest who did."
"00:07:02.370"|"00:07:08.710"|"6.34"|"A herd of elephants travels across a field, but their field is on a table in the middle of a mysterious man’s study."
"00:07:08.710"|"00:07:12.419"|"3.71"|"The old man doesn’t pay attention to this, as he’s busy reading a book."
"00:07:12.419"|"00:07:19.130"|"6.71"|"His butler, Geoffrey, asks how the book is, and the man comments that it’s too technical, adding that he prefers chaos."
"00:07:19.130"|"00:07:22.450"|"3.32"|"Still, he likes a recipe for a black hole from the book."
"00:07:22.450"|"00:07:26.820"|"4.37"|"He turns his attention to the little beings in his pocket world and laughs at a miniature"
"00:07:26.820"|"00:07:28.960"|"2.14"|"man who’s rubbing two sticks together."
"00:07:28.960"|"00:07:33.980"|"5.02"|"Suddenly, the Homosapien discovers how to make fire, and the old man is enraged."
"00:07:33.980"|"00:07:38.820"|"4.84"|"He complains that he didn’t say those people could do such a thing because he’s supposed to give fire."
"00:07:38.820"|"00:07:44.720"|"5.9"|"Geoffrey notes that the current time period is over 200,000 years before they’re supposed to give them fire."
"00:07:44.720"|"00:07:49.350"|"4.63"|"Because of this, the old man orders Geoffrey to put the fire out, so the butler blows onto"
"00:07:49.350"|"00:07:52.449"|"3.1"|"the table, creating the wind that snuffs out the flames."
"00:07:52.449"|"00:07:57.530"|"5.08"|"Still, the old man is pissed, so he tells Geoffrey to put them back into their caves."
"00:07:57.530"|"00:08:03.460"|"5.93"|"The butler obeys, so he triggers the elephants to stampede towards the humans, forcing them to hide."
"00:08:03.460"|"00:08:07.850"|"4.39"|"After it’s done, the old man is still annoyed at what just happened, so he plans to shrink"
"00:08:07.850"|"00:08:11.270"|"3.42"|"the brains of the tiny beings to prevent them from making their own choices."
"00:08:11.270"|"00:08:16.130"|"4.86"|"Not long after, the homo-sapiens exit the cave again to perform a rain dance."
"00:08:16.130"|"00:08:19.800"|"3.67"|"Geoffrey reminds him that they haven’t turned off the drought, so the old man orders him"
"00:08:19.800"|"00:08:22.270"|"2.47"|"to spray some water on the parched little things."
"00:08:22.270"|"00:08:27.490"|"5.22"|"Geoffrey happily obliges and sprays water over the table, causing it to rain on the field."
"00:08:27.490"|"00:08:31.030"|"3.54"|"He comments that their God is merciful as the homo-sapiens rejoice."
"00:08:31.030"|"00:08:36.740"|"5.71"|"The old man giggles at the sight of their excitement, so he orders his trusty butler to spray more water."
"00:08:36.740"|"00:08:40.529"|"3.79"|"As Geoffrey does so, new plants begin to sprout from the little field."
"00:08:40.529"|"00:08:45.660"|"5.13"|"Finally, he's had enough of this fun, and the old man tells Geoffrey to release the plague."
"00:08:45.660"|"00:08:49.860"|"4.2"|"The butler hesitates, but the old man is adamant about ending this little game."
"00:08:49.860"|"00:08:54.490"|"4.63"|"With no choice, Geoffrey opens an antique box and takes a fancy bottle from it."
"00:08:54.490"|"00:08:59.279"|"4.79"|"With furrowed brows, Geoffrey sprays this over the homo-sapiens, and one by one, the"
"00:08:59.279"|"00:09:02.040"|"2.76"|"people collapse as they take their final breaths."
"00:09:02.040"|"00:09:06.449"|"4.41"|"The old man simply watches this from over his book before continuing with his reading."
"00:09:06.449"|"00:09:10.440"|"3.99"|"This story about creation depicts God as both merciful and unforgiving."
"00:09:10.440"|"00:09:14.430"|"3.99"|"While he provides water for the thirsty beings on his table, he also takes their lives in"
"00:09:14.430"|"00:09:16.879"|"2.45"|"a snap once he’s tired of watching them."
"00:09:16.879"|"00:09:22.459"|"5.58"|"Both Love, Death, and Robots: Ice Age and God: Serengeti present their own versions of god-like beings."
"00:09:22.459"|"00:09:28.240"|"5.78"|"Rob and Gail watch life grow and die without intervention but with sympathy for the civilizations they witness."
"00:09:28.240"|"00:09:32.730"|"4.49"|"In contrast, the other presents a more involved God who’s apathetic to the lives on his"
