""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"38"|"276"|"00:02:27.990"|"00:02:28.000"|"147.99"|"148.0"|"0.009999999999990905"|"jej izolacja i chłodniejszy klimat"
"39"|"280"|"00:02:28.000"|"00:02:30.790"|"148.0"|"150.79"|"2.789999999999992"|"jej izolacja i chłodniejszy klimat"
"40"|"284"|"00:02:30.790"|"00:02:30.800"|"150.79"|"150.8"|"0.010000000000019327"|"stworzyłysanktuarium niepodobne do żadnej innej"
"41"|"288"|"00:02:30.800"|"00:02:32.720"|"150.8"|"152.72"|"1.9199999999999875"|"stworzyłysanktuarium niepodobne do żadnej innej"
"42"|"292"|"00:02:32.720"|"00:02:32.730"|"152.72"|"152.73"|"0.009999999999990905"|"części australii"
"43"|"296"|"00:02:32.730"|"00:02:37.830"|"152.73"|"157.83"|"5.100000000000023"|"części australii [muzyka],"
"44"|"300"|"00:02:37.830"|"00:02:37.840"|"157.83"|"157.84"|"0.009999999999990905"|"[muzyka],"
"45"|"304"|"00:02:37.840"|"00:02:40.869"|"157.84"|"160.869"|"3.0289999999999964"|"[muzyka],"
"46"|"308"|"00:02:40.869"|"00:02:40.879"|"160.869"|"160.879"|"0.009999999999990905"|"a silny cykl sezonowy sprawia, że ​​życie"
"47"|"312"|"00:02:40.879"|"00:02:43.500"|"160.879"|"163.5"|"2.6210000000000093"|"a silny cykl sezonowy sprawia, że ​​życie"
"48"|"316"|"00:02:43.500"|"00:02:43.510"|"163.5"|"163.51"|"0.009999999999990905"|"tutaj jest naprawdę inne"
"49"|"320"|"00:02:43.510"|"00:02:50.630"|"163.51"|"170.63"|"7.1200000000000045"|"tutaj jest naprawdę inne [muzyka]"
"50"|"324"|"00:02:50.630"|"00:02:50.640"|"170.63"|"170.64"|"0.009999999999990905"|"[muzyka]"
"51"|"328"|"00:02:50.640"|"00:02:59.030"|"170.64"|"179.03"|"8.390000000000015"|"[muzyka]"
"52"|"340"|"00:03:01.750"|"00:03:01.760"|"181.75"|"181.76"|"0.009999999999990905"|"żywe w ch Tasmanii są"
"53"|"344"|"00:03:01.760"|"00:03:07.430"|"181.76"|"187.43"|"5.670000000000016"|"żywe w ch Tasmanii są"
"54"|"352"|"00:03:07.440"|"00:03:14.630"|"187.44"|"194.63"|"7.189999999999998"|"[Muzyka]"
"55"|"356"|"00:03:14.630"|"00:03:14.640"|"194.63"|"194.64"|"0.009999999999990905"|"[Muzyka]"
"56"|"360"|"00:03:14.640"|"00:03:18.470"|"194.64"|"198.47"|"3.8300000000000125"|"[Muzyka]"
"57"|"364"|"00:03:18.470"|"00:03:18.480"|"198.47"|"198.48"|"0.009999999999990905"|"to ostatnie lądowisko zmierzające na południe"
"58"|"368"|"00:03:18.480"|"00:03:20.140"|"198.48"|"200.14"|"1.6599999999999966"|"to ostatnie lądowisko zmierzające na południe"
"59"|"372"|"00:03:20.140"|"00:03:20.150"|"200.14"|"200.15"|"0.010000000000019327"|"przed Antarktydą"
"60"|"376"|"00:03:20.150"|"00:03:23.750"|"200.15"|"203.75"|"3.5999999999999943"|"przed Antarktydą [Muzyka]"
"61"|"380"|"00:03:23.750"|"00:03:23.760"|"203.75"|"203.76"|"0.009999999999990905"|"[Muzyka]"
"62"|"384"|"00:03:23.760"|"00:03:25.910"|"203.76"|"205.91"|"2.1500000000000057"|"[Muzyka]"
"63"|"388"|"00:03:25.910"|"00:03:25.920"|"205.91"|"205.92"|"0.009999999999990905"|"zimne powietrze z dalszego południa przynosi"
"64"|"392"|"00:03:25.920"|"00:03:28.149"|"205.92"|"208.149"|"2.2290000000000134"|"zimne powietrze z dalszego południa przynosi"
"65"|"396"|"00:03:28.149"|"00:03:28.159"|"208.149"|"208.159"|"0.009999999999990905"|"opady śniegu i mrozy"
"66"|"400"|"00:03:28.159"|"00:03:31.840"|"208.159"|"211.84"|"3.6810000000000116"|"opady śniegu i mrozy"
"67"|"404"|"00:03:31.840"|"00:03:31.850"|"211.84"|"211.85"|"0.009999999999990905"|"przez te zimowe miesiące"
"68"|"408"|"00:03:31.850"|"00:03:31.930"|"211.85"|"211.93"|"0.0800000000000125"|"przez te zimowe miesiące [Brawa]"
"69"|"412"|"00:03:31.930"|"00:03:31.940"|"211.93"|"211.94"|"0.009999999999990905"|"[Brawa]"
"70"|"416"|"00:03:31.940"|"00:03:36.789"|"211.94"|"216.789"|"4.8489999999999895"|"[Brawa] [Muzyka]"
"71"|"420"|"00:03:36.789"|"00:03:36.799"|"216.789"|"216.799"|"0.010000000000019327"|"[Muzyka]"
"72"|"424"|"00:03:36.799"|"00:03:39.910"|"216.799"|"219.91"|"3.11099999999999"|"[Muzyka]"
"73"|"428"|"00:03:39.910"|"00:03:39.920"|"219.91"|"219.92"|"0.009999999999990905"|" zwierząt takich jak ta samicawombat to"
"74"|"432"|"00:03:39.920"|"00:03:41.910"|"219.92"|"221.91"|"1.990000000000009"|" zwierząt takich jak ta samicawombat to"
"75"|"436"|"00:03:41.910"|"00:03:41.920"|"221.91"|"221.92"|"0.009999999999990905"|"gatunek australijski,"
"76"|"440"|"00:03:41.920"|"00:03:44.470"|"221.92"|"224.47"|"2.5500000000000114"|"gatunek australijski,"
"77"|"444"|"00:03:44.470"|"00:03:44.480"|"224.47"|"224.48"|"0.009999999999990905"|"ale jego zwyczaje i styl życia są"
"78"|"448"|"00:03:44.480"|"00:03:51.190"|"224.48"|"231.19"|"6.710000000000008"|"ale jego zwyczaje i styl życia są"
"79"|"500"|"00:04:18.150"|"00:04:18.160"|"258.15"|"258.16"|"0.010000000000047748"|"po drugiej stronie tej wyspy"
"80"|"504"|"00:04:18.160"|"00:04:22.940"|"258.16"|"262.94"|"4.779999999999973"|"po drugiej stronie tej wyspy bezdroża"
"81"|"512"|"00:04:22.950"|"00:04:24.710"|"262.95"|"264.71"|"1.759999999999991"|"[Muzyka]"
"82"|"516"|"00:04:24.710"|"00:04:24.720"|"264.71"|"264.72"|"0.010000000000047748"|"[Muzyka]"
"83"|"520"|"00:04:24.720"|"00:04:28.469"|"264.72"|"268.469"|"3.748999999999967"|"[Muzyka]"
"84"|"524"|"00:04:28.469"|"00:04:28.479"|"268.469"|"268.479"|"0.009999999999990905"|"nawet niżej w lasach tasmanii"
"85"|"528"|"00:04:28.479"|"00:04:31.890"|"268.479"|"271.89"|"3.4110000000000014"|"nawet niżej w lasach tasmanii"
"86"|"532"|"00:04:31.890"|"00:04:31.900"|"271.89"|"271.9"|"0.009999999999990905"|"temperatura może spaść  zera"
"87"|"536"|"00:04:31.900"|"00:04:36.320"|"271.9"|"276.32"|"4.420000000000016"|"temperatura może spaść  zera [Muzyka]"
"88"|"540"|"00:04:36.320"|"00:04:36.330"|"276.32"|"276.33"|"0.009999999999990905"|"[Muzyka]"
"89"|"544"|"00:04:36.330"|"00:04:37.630"|"276.33"|"277.63"|"1.3000000000000114"|"[Muzyka] [Brawa]"
"90"|"548"|"00:04:37.630"|"00:04:37.640"|"277.63"|"277.64"|"0.009999999999990905"|"[Brawa]"
"91"|"552"|"00:04:37.640"|"00:04:42.870"|"277.64"|"282.87"|"5.230000000000018"|"[Brawa] [Muzyka"
"92"|"556"|"00:04:42.870"|"00:04:42.880"|"282.87"|"282.88"|"0.009999999999990905"|"[Muzyka"
"93"|"560"|"00:04:42.880"|"00:04:45.110"|"282.88"|"285.11"|"2.230000000000018"|"[Muzyka"
"94"|"564"|"00:04:45.110"|"00:04:45.120"|"285.11"|"285.12"|"0.009999999999990905"|"] si europejczycy, którzy eksplorowali te"
"95"|"568"|"00:04:45.120"|"00:04:46.629"|"285.12"|"286.629"|"1.5090000000000146"|"] si europejczycy, którzy eksplorowali te lasy,"
"96"|"572"|"00:04:46.629"|"00:04:46.639"|"286.629"|"286.639"|"0.009999999999990905"|"lasy,"
"97"|"576"|"00:04:46.639"|"00:04:49.670"|"286.639"|"289.67"|"3.031000000000006"|"lasy,"
"98"|"580"|"00:04:49.670"|"00:04:54.470"|"289.67"|"294.47"|"4.800000000000011"|"twierdzili, że słyszeli w nocy krzyki diabłów"
"99"|"588"|"00:04:54.480"|"00:05:03.830"|"294.48"|"303.83"|"9.349999999999966"|"[Muzyka]"
"100"|"592"|"00:05:03.830"|"00:05:03.840"|"303.83"|"303.84"|"0.009999999999990905"|"[Muzyka]"
"101"|"596"|"00:05:03.840"|"00:05:07.270"|"303.84"|"307.27"|"3.430000000000007"|"[Muzyka]"
"102"|"600"|"00:05:07.270"|"00:05:07.280"|"307.27"|"307.28"|"0.009999999999990905"|"i tak najbardziej tasmańskasłynne zwierzę ma"
"103"|"604"|"00:05:07.280"|"00:05:13.430"|"307.28"|"313.43"|"6.150000000000034"|"i tak najbardziej tasmańskasłynne zwierzę ma swoją"
"104"|"620"|"00:05:27.070"|"00:05:28.870"|"327.07"|"328.87"|"1.8000000000000114"|"[Muzyka]"
"105"|"624"|"00:05:28.870"|"00:05:28.880"|"328.87"|"328.88"|"0.009999999999990905"|"[Muzyka]"
"106"|"628"|"00:05:28.880"|"00:05:31.510"|"328.88"|"331.51"|"2.6299999999999955"|"[Muzyka]"
"107"|"632"|"00:05:31.510"|"00:05:31.520"|"331.51"|"331.52"|"0.009999999999990905"|"przede wszystkim padlinożercy potrafią wyczuć"
"108"|"636"|"00:05:31.520"|"00:05:35.510"|"331.52"|"335.51"|"3.990000000000009"|"przede wszystkim padlinożercy potrafią wyczuć"
"109"|"640"|"00:05:35.510"|"00:05:35.520"|"335.51"|"335.52"|"0.009999999999990905"|"zwłoki z pół milisposób"
"110"|"644"|"00:05:35.520"|"00:05:37.990"|"335.52"|"337.99"|"2.4700000000000273"|"zwłoki z pół milisposób"
"111"|"648"|"00:05:37.990"|"00:05:38.000"|"337.99"|"338.0"|"0.009999999999990905"|"i w stosunku do wielkości ciała mają"
"112"|"652"|"00:05:38.000"|"00:05:42.550"|"338.0"|"342.55"|"4.550000000000011"|"i w stosunku do wielkości ciała mają"
"113"|"656"|"00:05:42.550"|"00:05:42.560"|"342.55"|"342.56"|"0.009999999999990905"|"najpotężniejszy kęs w świecie przyrody"
"114"|"660"|"00:05:42.560"|"00:05:47.610"|"342.56"|"347.61"|"5.050000000000011"|"najpotężniejszy kęs w świecie przyrody"
"115"|"668"|"00:05:47.620"|"00:05:48.170"|"347.62"|"348.17"|"0.5500000000000114"|"[Muzyka]"
"116"|"672"|"00:05:48.170"|"00:05:48.180"|"348.17"|"348.18"|"0.009999999999990905"|"[Muzyka]"
"117"|"676"|"00:05:48.180"|"00:05:49.800"|"348.18"|"349.8"|"1.6200000000000045"|"[Muzyka] [Brawa]"
"118"|"680"|"00:05:49.800"|"00:05:49.810"|"349.8"|"349.81"|"0.009999999999990905"|"[Brawa]"
"119"|"684"|"00:05:49.810"|"00:05:54.240"|"349.81"|"354.24"|"4.430000000000007"|"[Brawa] [Muzyka]"
"120"|"692"|"00:05:54.250"|"00:05:59.430"|"354.25"|"359.43"|"5.180000000000007"|"[Brawa]"
"121"|"704"|"00:06:02.629"|"00:06:02.639"|"362.629"|"362.639"|"0.009999999999990905"|"diabły żyły kiedyś w całej Australii,"
"122"|"708"|"00:06:02.639"|"00:06:05.110"|"362.639"|"365.11"|"2.4710000000000036"|"diabły żyły kiedyś w całej Australii,"
"123"|"712"|"00:06:05.110"|"00:06:05.120"|"365.11"|"365.12"|"0.009999999999990905"|"ale zniknęły, gdy kontynent wyschł"
"124"|"716"|"00:06:05.120"|"00:06:09.350"|"365.12"|"369.35"|"4.230000000000018"|"ale zniknęły, gdy kontynent wyschł"
"125"|"724"|"00:06:09.360"|"00:06:10.309"|"369.36"|"370.309"|"0.9490000000000123"|"j"
"126"|"728"|"00:06:10.309"|"00:06:10.319"|"370.309"|"370.319"|"0.009999999999990905"|"j"
"127"|"732"|"00:06:10.319"|"00:06:14.380"|"370.319"|"374.38"|"4.060999999999979"|"j"
"128"|"740"|"00:06:14.390"|"00:06:17.749"|"374.39"|"377.749"|"3.3590000000000373"|"[Muzyka]"
"129"|"752"|"00:06:19.830"|"00:06:19.840"|"379.83"|"379.84"|"0.009999999999990905"|"jak większość australijskich ssaków ich"
"130"|"756"|"00:06:19.840"|"00:06:23.270"|"379.84"|"383.27"|"3.430000000000007"|"jak większość australijskich ssaków ich torbacze,"
"131"|"768"|"00:06:26.230"|"00:06:26.240"|"386.23"|"386.24"|"0.009999999999990905"|"chociaż mogą wyglądać jak psy, diabły"
"132"|"772"|"00:06:26.240"|"00:06:28.550"|"386.24"|"388.55"|"2.3100000000000023"|"chociaż mogą wyglądać jak psy, diabły"
"133"|"776"|"00:06:28.550"|"00:06:28.560"|"388.55"|"388.56"|"0.009999999999990905"|"są bliżej spokrewnione z kangurami"
"134"|"780"|"00:06:28.560"|"00:06:30.629"|"388.56"|"390.629"|"2.069000000000017"|"są bliżej spokrewnione z kangurami"
"135"|"784"|"00:06:30.629"|"00:06:30.639"|"390.629"|"390.639"|"0.009999999999990905"|"niż z psami"
"136"|"788"|"00:06:30.639"|"00:06:32.790"|"390.639"|"392.79"|"2.1510000000000105"|"niż z psami"
"137"|"792"|"00:06:32.790"|"00:06:32.800"|"392.79"|"392.8"|"0.009999999999990905"|"i będąc torbaczami, kilka tygodni temu wychowują swoje"
"138"|"796"|"00:06:32.800"|"00:06:37.510"|"392.8"|"397.51"|"4.7099999999999795"|"i będąc torbaczami, kilka tygodni temu wychowują swoje"
"139"|"808"|"00:06:40.629"|"00:06:40.639"|"400.629"|"400.639"|"0.009999999999990905"|"ta samica"
"140"|"812"|"00:06:40.639"|"00:06:42.340"|"400.639"|"402.34"|"1.700999999999965"|"ta samica"
"141"|"816"|"00:06:42.340"|"00:06:42.350"|"402.34"|"402.35"|"0.010000000000047748"|"urodziła 40młode"
"142"|"820"|"00:06:42.350"|"00:06:43.510"|"402.35"|"403.51"|"1.1599999999999682"|"urodziła 40młode [Muzyka]"
"143"|"824"|"00:06:43.510"|"00:06:43.520"|"403.51"|"403.52"|"0.009999999999990905"|"[Muzyka]"
"144"|"828"|"00:06:43.520"|"00:06:47.790"|"403.52"|"407.79"|"4.270000000000039"|"[Muzyka]"
"145"|"832"|"00:06:47.790"|"00:06:47.800"|"407.79"|"407.8"|"0.009999999999990905"|"każde wielkości ziarnka ryżu"
"146"|"836"|"00:06:47.800"|"00:06:51.029"|"407.8"|"411.029"|"3.228999999999985"|"każde wielkości ziarnka ryżu [Muzyka]"
"147"|"840"|"00:06:51.029"|"00:06:51.039"|"411.029"|"411.039"|"0.009999999999990905"|"[Muzyka]"
"148"|"844"|"00:06:51.039"|"00:06:55.909"|"411.039"|"415.909"|"4.8700000000000045"|"[Muzyka]"
"149"|"848"|"00:06:55.909"|"00:06:55.919"|"415.909"|"415.919"|"0.009999999999990905"|"w jej torebce ma tylko cztery smoczki"
"150"|"852"|"00:06:55.919"|"00:06:59.680"|"415.919"|"419.68"|"3.761000000000024"|"w jej torebce ma tylko cztery smoczki"
"151"|"856"|"00:06:59.680"|"00:06:59.690"|"419.68"|"419.69"|"0.009999999999990905"|"więc tylko cztery młode przeżyją"
"152"|"860"|"00:06:59.690"|"00:07:05.510"|"419.69"|"425.51"|"5.819999999999993"|"więc tylko cztery młode przeżyją [Muzyka"
"153"|"864"|"00:07:05.510"|"00:07:05.520"|"425.51"|"425.52"|"0.009999999999990905"|"[Muzyka"
"154"|"868"|"00:07:05.520"|"00:07:09.880"|"425.52"|"429.88"|"4.360000000000014"|"[Muzyka"
"155"|"872"|"00:07:09.880"|"00:07:09.890"|"429.88"|"429.89"|"0.009999999999990905"|"] diabelski wyścig o przetrwanie zaczyna się "
"156"|"876"|"00:07:09.890"|"00:07:14.950"|"429.89"|"434.95"|"5.060000000000002"|"] diabelski wyścig o przetrwanie zaczyna się  [Muzyka]"
"157"|"880"|"00:07:14.950"|"00:07:14.960"|"434.95"|"434.96"|"0.009999999999990905"|"[Muzyka]"
"158"|"884"|"00:07:14.960"|"00:07:16.629"|"434.96"|"436.629"|"1.6690000000000396"|"[Muzyka]"
"159"|"888"|"00:07:16.629"|"00:07:16.639"|"436.629"|"436.639"|"0.009999999999990905"|"to ciężki początek,"
"160"|"892"|"00:07:16.639"|"00:07:18.790"|"436.639"|"438.79"|"2.1510000000000105"|"to ciężki początek,"
"161"|"896"|"00:07:18.790"|"00:07:18.800"|"438.79"|"438.8"|"0.009999999999990905"|"ale ta mama wytrzymapoświęciła większość swojego"
"162"|"900"|"00:07:18.800"|"00:07:21.430"|"438.8"|"441.43"|"2.6299999999999955"|"ale ta mama wytrzymapoświęciła większość swojego"
"163"|"904"|"00:07:21.430"|"00:07:21.440"|"441.43"|"441.44"|"0.009999999999990905"|"roku na opiekę nad czwórką dzieci,"
"164"|"908"|"00:07:21.440"|"00:07:25.029"|"441.44"|"445.029"|"3.5889999999999986"|"roku na opiekę nad czwórką dzieci,"
"165"|"920"|"00:07:27.909"|"00:07:27.919"|"447.909"|"447.919"|"0.009999999999990905"|", pokonała ne przeciwności, by osiągnąć"
"166"|"924"|"00:07:27.919"|"00:07:29.670"|"447.919"|"449.67"|"1.7510000000000332"|", pokonała ne przeciwności, by osiągnąć dorosłość,"
"167"|"928"|"00:07:29.670"|"00:07:29.680"|"449.67"|"449.68"|"0.009999999999990905"|"dorosłość,"
"168"|"932"|"00:07:29.680"|"00:07:32.469"|"449.68"|"452.469"|"2.7889999999999873"|"dorosłość,"
"169"|"936"|"00:07:32.469"|"00:07:32.479"|"452.469"|"452.479"|"0.009999999999990905"|"z jej kolej, by wychować następne"
"170"|"940"|"00:07:32.479"|"00:07:37.820"|"452.479"|"457.82"|"5.341000000000008"|"z jej kolej, by wychować następne pokolenie"
"171"|"948"|"00:07:37.830"|"00:07:39.830"|"457.83"|"459.83"|"2.0"|"[Muzyka]"
"172"|"952"|"00:07:39.830"|"00:07:39.840"|"459.83"|"459.84"|"0.009999999999990905"|"[Muzyka]"
"173"|"956"|"00:07:39.840"|"00:07:42.309"|"459.84"|"462.309"|"2.469000000000051"|"[Muzyka]"
"174"|"960"|"00:07:42.309"|"00:07:42.319"|"462.309"|"462.319"|"0.009999999999990905"|"torbacze jak diabły lJestem tutaj,"
"175"|"964"|"00:07:42.319"|"00:07:44.950"|"462.319"|"464.95"|"2.630999999999972"|"torbacze jak diabły lJestem tutaj,"
"176"|"968"|"00:07:44.950"|"00:07:44.960"|"464.95"|"464.96"|"0.009999999999990905"|"ponieważ tasmania była kiedyś połączona z"
"177"|"972"|"00:07:44.960"|"00:07:49.110"|"464.96"|"469.11"|"4.150000000000034"|"ponieważ tasmania była kiedyś połączona z"
"178"|"984"|"00:07:51.749"|"00:07:51.759"|"471.749"|"471.759"|"0.009999999999990905"|"a jej mieszkańcy zostali"
"179"|"988"|"00:07:51.759"|"00:07:55.270"|"471.759"|"475.27"|"3.5109999999999673"|"a jej mieszkańcy zostali"
"180"|"992"|"00:07:55.270"|"00:07:55.280"|"475.27"|"475.28"|"0.009999999999990905"|"odizolowani jakieś 12 000 lat temu, kiedy"
"181"|"996"|"00:07:55.280"|"00:08:01.350"|"475.28"|"481.35"|"6.07000000000005"|"odizolowani jakieś 12 000 lat temu, kiedy"
"182"|"1008"|"00:08:04.150"|"00:08:04.160"|"484.15"|"484.16"|"0.010000000000047748"|"ale tasmania jest oknem na  bardziej"
"183"|"1012"|"00:08:04.160"|"00:08:06.850"|"484.16"|"486.85"|"2.6899999999999977"|"ale tasmania jest oknem na  bardziej"
"184"|"1016"|"00:08:06.850"|"00:08:06.860"|"486.85"|"486.86"|"0.009999999999990905"|"żytną przeszłość"
"185"|"1020"|"00:08:06.860"|"00:08:08.869"|"486.86"|"488.869"|"2.0090000000000146"|"żytną przeszłość [Muzyka]"
"186"|"1024"|"00:08:08.869"|"00:08:08.879"|"488.869"|"488.879"|"0.009999999999990905"|"[Muzyka]"
"187"|"1028"|"00:08:08.879"|"00:08:10.950"|"488.879"|"490.95"|"2.0709999999999695"|"[Muzyka]"
"188"|"1032"|"00:08:10.950"|"00:08:10.960"|"490.95"|"490.96"|"0.009999999999990905"|"niektóre z tych lasów mająnie się"
"189"|"1036"|"00:08:10.960"|"00:08:14.230"|"490.96"|"494.23"|"3.2700000000000387"|"niektóre z tych lasów mająnie się"
"190"|"1040"|"00:08:14.230"|"00:08:14.240"|"494.23"|"494.24"|"0.009999999999990905"|"zmieniło, odkąd dinozaury chodziły po ziemi,"
"191"|"1044"|"00:08:14.240"|"00:08:16.070"|"494.24"|"496.07"|"1.829999999999984"|"zmieniło, odkąd dinozaury chodziły po ziemi,"
"192"|"1048"|"00:08:16.070"|"00:08:16.080"|"496.07"|"496.08"|"0.009999999999990905"|"kiedy południowe kontynenty były"
"193"|"1052"|"00:08:16.080"|"00:08:21.670"|"496.08"|"501.67"|"5.590000000000032"|"kiedy południowe kontynenty były"
"194"|"1064"|"00:08:24.070"|"00:08:24.080"|"504.07"|"504.08"|"0.009999999999990905"|" żyje tutaj stworzenie, którego"
"195"|"1068"|"00:08:24.080"|"00:08:26.150"|"504.08"|"506.15"|"2.069999999999993"|" żyje tutaj stworzenie, którego"
"196"|"1072"|"00:08:26.150"|"00:08:26.160"|"506.15"|"506.16"|"0.010000000000047748"|"przodkowie wędrowali po tym żytnym"
"197"|"1076"|"00:08:26.160"|"00:08:29.680"|"506.16"|"509.68"|"3.519999999999982"|"przodkowie wędrowali po tym żytnym kontynencie"
"198"|"1084"|"00:08:29.690"|"00:08:41.110"|"509.69"|"521.11"|"11.420000000000016"|"[Muzyka"
"199"|"1096"|"00:08:43.430"|"00:08:43.440"|"523.43"|"523.44"|"0.010000000000104592"|"] żyje w rzekach tasmanii"
"200"|"1100"|"00:08:43.440"|"00:08:45.590"|"523.44"|"525.59"|"2.1499999999999773"|"] żyje w rzekach tasmanii"
"201"|"1104"|"00:08:45.590"|"00:08:45.600"|"525.59"|"525.6"|"0.009999999999990905"|"i jest jednym z najdłużej żyjących na wyspie"
"202"|"1108"|"00:08:45.600"|"00:08:49.750"|"525.6"|"529.75"|"4.149999999999977"|"i jest jednym z najdłużej żyjących na wyspie"
"203"|"1124"|"00:08:55.170"|"00:08:56.060"|"535.17"|"536.06"|"0.8899999999999864"|"[Muzyka]"
"204"|"1128"|"00:08:56.060"|"00:08:56.070"|"536.06"|"536.07"|"0.010000000000104592"|"[Muzyka]"
"205"|"1132"|"00:08:56.070"|"00:08:58.790"|"536.07"|"538.79"|"2.7199999999999136"|"[Muzyka] [Brawa]"
"206"|"1136"|"00:08:58.790"|"00:08:58.800"|"538.79"|"538.8"|"0.009999999999990905"|"[Brawa]"
"207"|"1140"|"00:08:58.800"|"00:09:01.030"|"538.8"|"541.03"|"2.230000000000018"|"[Brawa]"
"208"|"1144"|"00:09:01.030"|"00:09:01.040"|"541.03"|"541.04"|"0.009999999999990905"|"ważące do pięciu kilogramów i metr"
